Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
1182,226,2025,3,16,15,15,12,18,11,8,16,0,8,8,10,0,15,8,11,,,,,,,,,,,"Piloto"
1183,228,2025,3,17,16,19,13,12,13,14,14,14,11,4,13,18,18,0,17,,,,,,,,,,,"Piloto"
455,60,2019,9,4,5,8,16,4,20,3,5,7,4,0,8,9,6,2,8,5,8,5,11,,17,,,,,"Piloto"
1184,229,2025,3,0,13,8,10,8,0,7,8,9,6,9,9,10,8,10,10,,,,,,,,,,,"Piloto"
1185,230,2025,3,0,9,2,15,13,9,10,9,12,7,3,8,0,11,7,13,,,,,,,,,,,"Piloto"
1186,221,2025,3,9,11,13,0,10,15,11,17,11,17,6,0,11,9,15,12,,,,,,,,,,,"Piloto"
1187,222,2025,3,14,18,14,17,16,14,15,12,13,13,13,15,16,20,12,15,,,,,,,,,,,"Piloto"
1188,231,2025,3,13,17,17,19,17,18,16,18,18,15,15,16,14,12,14,16,,,,,,,,,,,"Piloto"
1189,236,2025,3,15,14,18,18,19,19,17,19,17,16,16,17,17,17,17,18,,,,,,,,,,,"Piloto"
1190,217,2025,4,7,4,0,4,3,2,9,2,4,3,5,1,2,3,11,0,,,,,,,,,,,"Piloto"
1191,235,2025,4,1,1,3,1,1,0,1,1,0,1,2,4,3,2,1,0,,,,,,,,,,,"Piloto"
1192,223,2025,4,2,3,1,3,8,3,2,3,1,5,4,9,1,1,4,0,,,,,,,,,,,"Piloto"
1193,224,2025,4,14,5,2,2,2,4,4,4,3,4,1,6,5,5,7,0,,,,,,,,,,,"Piloto"
1194,215,2025,4,8,2,0,5,4,1,5,5,2,2,10,2,4,6,2,0,,,,,,,,,,,"Piloto"
1195,216,2025,4,6,7,8,10,5,5,6,12,10,0,0,12,7,7,6,0,,,,,,,,,,,"Piloto"
1196,234,2025,4,3,8,4,16,9,7,8,11,0,7,11,3,13,17,9,0,,,,,,,,,,,"Piloto"
1197,233,2025,4,5,6,6,13,7,16,10,0,8,12,9,8,0,8,3,0,,,,,,,,,,,"Piloto"
1198,219,2025,4,12,11,5,6,0,6,3,6,6,0,7,5,15,4,5,0,,,,,,,,,,,"Piloto"
1199,220,2025,4,4,0,13,7,11,0,7,14,5,6,3,7,10,12,8,0,,,,,,,,,,,"Piloto"
1200,226,2025,4,9,10,9,9,15,15,12,13,7,13,8,16,17,15,12,0,,,,,,,,,,,"Piloto"
1201,230,2025,4,16,9,10,0,13,8,0,7,11,8,19,10,9,13,0,0,,,,,,,,,,,"Piloto"
1202,237,2025,4,18,16,18,14,16,13,15,16,17,15,16,19,18,19,15,0,,,,,,,,,,,"Piloto"
1203,228,2025,4,0,18,11,12,12,14,17,17,16,14,12,0,19,0,17,0,,,,,,,,,,,"Piloto"
1204,232,2025,4,15,13,7,11,18,12,16,10,12,16,13,14,6,16,13,0,,,,,,,,,,,"Piloto"
1205,229,2025,4,11,19,12,17,6,10,11,8,9,9,6,11,8,10,10,0,,,,,,,,,,,"Piloto"
1206,221,2025,4,10,14,17,8,14,9,14,18,13,10,15,17,11,9,16,0,,,,,,,,,,,"Piloto"
1207,222,2025,4,13,12,14,18,10,11,13,9,14,11,17,15,16,11,14,0,,,,,,,,,,,"Piloto"
1208,231,2025,4,17,15,15,15,0,18,18,15,18,17,14,13,12,14,18,0,,,,,,,,,,,"Piloto"
1209,236,2025,4,0,17,16,19,17,17,19,19,15,18,18,18,14,18,0,0,,,,,,,,,,,"Piloto"
1210,217,2025,5,1,2,1,2,2,1,3,3,0,1,2,1,2,1,2,2,,,,,,,,,,,"Piloto"
454,59,2019,9,5,9,5,6,0,11,12,9,4,14,0,3,7,10,12,5,6,10,17,8,,6,,,,,"Piloto"
1211,235,2025,5,2,1,2,1,1,3,1,1,0,0,1,2,1,2,1,1,,,,,,,,,,,"Piloto"
1212,223,2025,5,3,3,6,0,5,4,14,0,1,3,3,3,3,8,3,3,,,,,,,,,,,"Piloto"
